gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Ikzf1,-0.7566826743153626,0.2513412541721755,0.8196569864004386,0.5997362221560033,0.08636785503059742,0.0102739758857796
Pnpo,0.4436701001810973,0.1494150284993494,0.7247006426838716,0.8256057180086528,0.13984135353761348,0.0101931435442589
Cbx1,0.2808400479338112,0.2355504922065019,0.8092490996963482,0.6279159839226934,0.09191777508526018,0.011427757876836
Aatf,0.0014970296687712,0.9967378911560866,0.9999260987320197,0.001419031648549566,3.209609887532843e-05,0.0108348006149526
Dync1h1,-0.260914227462633,0.2429470385532056,0.8130918076541517,0.6144883904797156,0.08986041466850836,0.0122465384615384
Pex12,0.3814940786209491,0.2372883932256446,0.809757180142913,0.6247235044347283,0.0916451923975986,0.0107071428571428
Ndel1,0.0521434936705306,0.8316083696224772,0.98226620905492,0.0800811484139619,0.007770795863036959,0.0100919714603141
Fxr2,0.0419510528959086,0.8954203875797512,0.9893980957684074,0.047973021508766533,0.004628929830002894,0.0105210526315789
Atp5mc3,0.1232467500368758,0.5727504428689049,0.9425153887405862,0.24203456632809395,0.02571155020380348,0.0106508500165143
Cd68,-1.0193492938490023,0.2600857068328743,0.8242807776056934,0.5848835140639327,0.08392482787328888,0.0101307242118665
Lsp1,-0.5560338466562391,0.5591325830379836,0.938856328900184,0.25248519881397413,0.027400861769824137,0.0101749150561201
Myh11,-0.2429873108259651,0.3224934606977628,0.8569774965259972,0.4914790872664515,0.06703058211752401,0.01
Rad51d,0.3461451864739155,0.3024084395569997,0.8484868373034113,0.519406092794212,0.0713548905659112,0.0105829741787464
Rars1,-0.2066261154527647,0.3445174383991169,0.8673002554686421,0.4627887905667023,0.06183052568554133,0.011024556397283
Mrpl58,0.615670483896578,0.0360195722277031,0.4203535037414683,1.443461449213632,0.3763853282890593,0.012393815413911
