gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Traf6,-0.1092961476590663,0.5213384827183786,0.8742017787513724,0.2828802163440446,0.058388314180020086,0.017392851036673
Eif3m,0.0459576080993925,0.8969881155930822,0.9803572333189128,0.0472133109877215,0.008615642481890683,0.0105514356421396
Caprin1,-0.1868402434908183,0.2624779345155155,0.7122816426868479,0.5809072001473192,0.1473482483867788,0.0105210526315789
Nat10,-0.1165581334326256,0.5919503387296732,0.8997907954566422,0.227714726588469,0.04585845382752585,0.0113779569718655
Cat,0.2275601206097073,0.2713986204925117,0.7194873438755656,0.5663923641708011,0.1429768411065932,0.0101600556435882
Hsd17b12,-0.8468097723783925,0.000109359918057,0.0042239240530761,3.9611418238554323,2.3742838990979394,0.01198
Gatm,0.5936109685891635,0.0019135179824908,0.0374228751626476,2.7181674520912567,1.4268628491368036,0.010819804894379
Sema6d,-1.688621724118028,8.433843083516403e-13,4.6419269914311167e-10,12.073974483543696,9.333301694441916,0.0106319250586086
Dut,0.0585597702182258,0.8834298201965913,0.9787198879636873,0.05382794520865548,0.009341586560956433,0.0102012557485037
Fbn1,-1.182066303713833,0.001596722929326,0.0326354072464778,2.79677043809091,1.486310963516662,0.0119170291670224
Pex16,0.4075693671379428,0.2790682303909204,0.7270871510658453,0.5542896015308734,0.1384135300508228,0.0107071428571428
Mapk8ip1,0.0406966447049367,0.9178231954086296,0.9840387689190476,0.03724097092695464,0.006987791003684031,0.0128137790306292
Sord,0.6281140112715194,0.0231084031810073,0.2104524243606453,1.6362300637652467,0.6768460669205401,0.01016699097444
Creb3l1,-1.4241333307814554,0.0020048045819313,0.0388141248896284,2.6979279537794914,1.4110102010731473,0.0101324204303692
Eif3j1,0.0242643793336806,0.9063999305293282,0.9818265559082652,0.042680136430990334,0.007965225517418673,0.0105142984928089
Mdk,-0.9896403512307708,0.0570450780553418,0.3549138869240504,1.2437818212829155,0.44987700742475256,0.0109503543824435
Atg13,0.2449935440453343,0.2221675285070273,0.6727891102027508,0.6533194162355597,0.17212104666485464,0.0103743077435417
Arhgap1,-0.0273217718574039,0.9087637042839568,0.9821239374352508,0.041549026861902226,0.007833703712144422,0.01045
Pdia3,-0.2519721803114249,0.1277213320544618,0.5319501502981205,0.89373656068626,0.2741290640673905,0.0102625089006105
F2,-0.2161625247070371,0.7945650935988104,0.959112958242754,0.09987051805036117,0.01813024136679146,0.0105564037336697
Tubgcp4,-0.2359518478198732,0.387196933274,0.8059653480041865,0.4120680911039685,0.09368363002379164,0.0111
Snap25,-0.7026515110038782,0.2603284664237697,0.7101374737549065,0.5844783400167223,0.148657569148804,0.0106810160891196
Snap23,-0.3610982024748477,0.1165055458892155,0.5115488656394801,0.9336534008889765,0.29111287404579855,0.0106810160891196
Vps39,0.2617832234053839,0.1660309312731845,0.5968160108225116,0.7798109961172575,0.2241595345323768,0.0102033892273173
Rtf1,-0.0801262507807689,0.6615057660780033,0.9225209391266828,0.17946636589077342,0.03502376756026275,0.0111950843454081
